,InstanceType,IoOptimized,NetworkType,OSType,RegionId,hour,month,week,year,years-2,years-3,years-4,years-5
0,ecs.n4.2xlarge,optimized,vpc,linux,us-east-1,2.347,1089.2,304.97,11109.84,18298.56,19605.6,26140.8,32676.0
1,ecs.xn4.small,optimized,vpc,linux,ap-south-1,0.075,38.0,10.64,387.6,638.4,684.0,912.0,1140.0
2,ecs.n2.medium,optimized,vpc,windows,cn-qingdao,0.969,294.0,82.32,2998.8,4939.2,5292.0,7056.0,8820.0
3,ecs.se1ne.large,optimized,vpc,windows,ap-southeast-3,1.624,907.25,267.4,8595.0,13752.0,15471.0,16502.4,17190.0
4,ecs.g5.16xlarge,optimized,vpc,windows,cn-beijing,26.913,7752.0,2284.8,73440.0,117504.0,132192.0,141004.8,146880.0
5,ecs.sn1ne.2xlarge,optimized,vpc,windows,cn-qingdao,3.42,984.2,290.08,9324.0,14918.4,16783.2,17902.08,18648.0
6,ecs.e3.medium,optimized,vpc,windows,me-east-1,2.199,1218.0,341.04,12423.6,24847.2,37270.8,49694.4,62118.0
7,ecs.n4.small,optimized,vpc,windows,cn-zhangjiakou,0.218,67.0,18.76,683.4,1125.6,1206.0,1608.0,2010.0
8,ecs.t5-lc1m4.large,optimized,vpc,linux,cn-shanghai,0.523,151.05,44.52,1431.0,2289.6,2575.8,2747.52,2862.0
9,ecs.hfc5.xlarge,optimized,vpc,windows,ap-southeast-5,2.538,1524.04,449.18,14438.25,23101.2,25988.85,27721.44,28876.5
10,ecs.n4.large,optimized,vpc,windows,ap-southeast-2,0.572,331.0,92.68,3376.2,5560.8,5958.0,7944.0,9930.0
11,ecs.se1ne.14xlarge,optimized,vpc,windows,eu-central-1,53.83,28559.67,8417.6,270565.29,432904.46,487017.52,519485.36,541130.58
12,ecs.mn4.large,optimized,vpc,windows,cn-hongkong,1.254,646.0,180.87,6589.2,10852.8,11628.0,15504.0,19380.0
13,ecs.n4.4xlarge,optimized,classic,windows,cn-hangzhou,5.67,1632.0,456.96,16646.4,27417.6,29376.0,39168.0,48960.0
14,ecs.d1-c14d3.14xlarge,optimized,vpc,linux,us-west-1,31.52,14377.3,4237.52,136206.0,217929.6,245170.8,261515.52,272412.0
15,ecs.se1ne.large,optimized,vpc,windows,us-east-1,1.63,883.78,260.47,8372.7,13396.32,15070.86,16075.58,16745.4
16,ecs.t5-lc1m1.small,optimized,vpc,linux,cn-hongkong,0.09,35.15,10.35,333.0,532.8,599.4,639.36,666.0
17,ecs.gn5i-c16g1.8xlarge,optimized,vpc,windows,cn-beijing,29.687,8550.0,2520.0,81000.0,129600.0,145800.0,155520.0,162000.0
18,ecs.g5.6xlarge,optimized,vpc,linux,cn-beijing,10.098,2907.0,856.8,27540.0,44064.0,49572.0,52876.8,55080.0
19,ecs.sn1.7xlarge,optimized,vpc,windows,cn-shanghai,13.67,4144.0,1160.32,42268.8,69619.2,74592.0,99456.0,124320.0
20,ecs.hfc5.large,optimized,vpc,windows,ap-south-1,1.176,712.99,210.15,6754.68,10807.49,12158.42,12968.99,13509.36
21,ecs.mn4.xlarge,optimized,vpc,linux,cn-beijing,2.043,620.0,173.6,6324.0,10416.0,11160.0,14880.0,18600.0
22,ecs.t5-lc1m1.small,optimized,vpc,linux,ap-southeast-5,0.084,37.05,10.91,351.0,561.6,631.8,673.92,702.0
23,ecs.t5-lc1m2.small,optimized,vpc,linux,cn-qingdao,0.159,45.6,13.44,432.0,691.2,777.6,829.44,864.0
24,ecs.hfc5.2xlarge,optimized,vpc,windows,cn-shanghai,3.686,1060.2,312.48,10044.0,16070.4,18079.2,19284.48,20088.0
25,ecs.xn4.small,optimized,classic,windows,cn-beijing,0.16,45.0,12.6,459.0,756.0,810.0,1080.0,1350.0
26,ecs.n4.small,optimized,vpc,windows,ap-south-1,0.217,122.0,34.16,1244.4,2049.6,2196.0,2928.0,3660.0
27,ecs.n4.small,optimized,classic,windows,cn-hangzhou,0.29,84.0,23.52,856.8,1411.2,1512.0,2016.0,2520.0
28,ecs.t5-c1m2.2xlarge,optimized,vpc,linux,cn-qingdao,1.52,438.9,129.36,4158.0,6652.8,7484.4,7983.36,8316.0
29,ecs.c2.xlarge,optimized,vpc,windows,cn-shenzhen,8.171,2352.0,658.56,23990.4,39513.6,42336.0,56448.0,70560.0
30,ecs.hfg5.8xlarge,optimized,vpc,linux,cn-qingdao,19.104,5502.4,1621.76,52128.0,83404.8,93830.4,100085.76,104256.0
31,ecs.s1.small,none,classic,linux,cn-beijing,0.211,45.0,12.6,459.0,756.0,810.0,1080.0,1350.0
32,ecs.t5-c1m1.4xlarge,optimized,vpc,linux,cn-hangzhou,2.194,632.7,186.48,5994.0,9590.4,10789.2,11508.48,11988.0
33,ecs.e3.small,optimized,vpc,windows,cn-shenzhen,0.817,249.0,69.72,2539.8,4183.2,4482.0,5976.0,7470.0
34,ecs.sn1.3xlarge,optimized,vpc,linux,us-east-1,4.714,2178.4,609.94,22219.68,36597.12,39211.2,52281.6,65352.0
35,ecs.hfg5.14xlarge,optimized,vpc,windows,cn-beijing,29.051,8367.6,2466.24,79272.0,126835.2,142689.6,152202.24,158544.0
36,ecs.t5-c1m1.xlarge,optimized,vpc,windows,ap-southeast-3,0.551,279.3,82.32,2646.0,4233.6,4762.8,5080.32,5292.0
37,ecs.e3.large,optimized,classic,linux,cn-qingdao,3.46,996.0,278.88,10159.2,16732.8,17928.0,23904.0,29880.0
38,ecs.sn2ne.4xlarge,optimized,vpc,linux,ap-southeast-3,6.45,2923.15,861.56,27693.0,44308.8,49847.4,53170.56,55386.0
39,ecs.cm4.4xlarge,optimized,vpc,windows,cn-beijing,13.3,2606.8,768.32,24696.0,39513.6,44452.8,47416.32,49392.0
40,ecs.g5.8xlarge,optimized,vpc,windows,us-east-1,20.779,11554.17,3405.43,109460.52,175136.83,197028.94,210164.2,218921.04
41,ecs.sn1.3xlarge,optimized,classic,linux,cn-hangzhou,7.19,2072.0,580.16,21134.4,34809.6,37296.0,49728.0,62160.0
42,ecs.s2.large,optimized,vpc,linux,ap-southeast-1,0.699,360.0,100.79,3672.0,6048.0,6480.0,8640.0,10800.0
43,ecs.s1.medium,none,classic,linux,us-west-1,0.215,97.4,27.27,993.48,1636.32,1753.2,2337.6,2922.0
44,ecs.i1.2xlarge,optimized,vpc,windows,cn-zhangjiakou,3.857,1109.79,327.1,10513.8,16822.08,18924.84,20186.5,21027.6
45,ecs.t5-c1m1.2xlarge,optimized,vpc,windows,cn-shenzhen,1.102,316.35,93.24,2997.0,4795.2,5394.6,5754.24,5994.0
46,ecs.n1.3xlarge,optimized,classic,linux,cn-shanghai,5.39,1552.0,434.56,15830.4,26073.6,27936.0,37248.0,46560.0
47,ecs.c4.2xlarge,optimized,vpc,windows,cn-shanghai,4.75,1181.8,348.32,11196.0,17913.6,20152.8,21496.32,22392.0
48,ecs.mn4.4xlarge,optimized,classic,windows,cn-qingdao,8.61,2480.0,694.4,25296.0,41664.0,44640.0,59520.0,74400.0
49,ecs.n1.7xlarge,optimized,vpc,windows,cn-hongkong,10.98,5658.0,1584.23,57711.6,95054.4,101844.0,135792.0,169740.0
50,ecs.n1.medium,optimized,classic,windows,cn-shenzhen,0.65,188.0,52.64,1917.6,3158.4,3384.0,4512.0,5640.0
51,ecs.se1ne.4xlarge,optimized,vpc,windows,cn-qingdao,9.661,2781.6,819.84,26352.0,42163.2,47433.6,50595.84,52704.0
52,ecs.se1.8xlarge,optimized,classic,windows,cn-shenzhen,24.56,5856.0,1639.68,59731.2,98380.8,105408.0,140544.0,175680.0
53,ecs.se1.14xlarge,optimized,classic,linux,cn-hongkong,32.55,15174.13,4248.75,154776.13,254925.38,273134.34,364179.12,455223.9
54,ecs.c1.small,optimized,classic,linux,cn-qingdao,2.0,600.0,168.0,6120.0,10080.0,10800.0,14400.0,18000.0
55,ecs.mn4.4xlarge,optimized,vpc,linux,us-west-1,6.455,3286.81,920.31,33525.46,55218.41,59162.58,78883.44,98604.3
56,ecs.g5.4xlarge,optimized,vpc,windows,cn-huhehaote,6.07,1748.0,515.2,16560.0,26496.0,29808.0,31795.2,33120.0
57,ecs.t5-c1m4.xlarge,optimized,vpc,windows,eu-central-1,1.22,608.0,179.21,5760.0,9216.0,10368.0,11059.2,11520.0
58,ecs.m1.xlarge,optimized,vpc,windows,cn-hongkong,3.932,2026.0,567.27,20665.2,34036.8,36468.0,48624.0,60780.0
59,ecs.t5-c1m4.large,optimized,vpc,windows,cn-shenzhen,0.598,171.0,50.4,1620.0,2592.0,2916.0,3110.4,3240.0
60,ecs.c5.4xlarge,optimized,vpc,windows,cn-qingdao,5.909,1702.4,501.76,16128.0,25804.8,29030.4,30965.76,32256.0
61,ecs.e3.xlarge,optimized,vpc,linux,us-west-1,4.09,1881.72,526.88,19193.54,31612.9,33870.96,45161.28,56451.6
62,ecs.mn4.4xlarge,optimized,vpc,windows,eu-central-1,11.696,6992.0,1957.77,71318.4,117465.6,125856.0,167808.0,209760.0
63,ecs.c4.4xlarge,optimized,vpc,linux,us-west-1,6.69,3282.24,967.4,31094.91,49751.86,55970.84,59702.23,62189.82
64,ecs.e3.7xlarge,optimized,vpc,windows,me-east-1,27.67,7968.0,2231.04,81273.6,162547.2,243820.8,325094.4,406368.0
65,ecs.c1.large,optimized,vpc,linux,cn-qingdao,2.71,792.0,221.76,8078.4,13305.6,14256.0,19008.0,23760.0
66,ecs.se1ne.3xlarge,optimized,vpc,linux,ap-southeast-5,6.612,3078.46,907.32,29164.32,46662.91,52495.78,55995.49,58328.64
67,ecs.t5-c1m1.large,optimized,vpc,linux,cn-shenzhen,0.275,78.85,23.24,747.0,1195.2,1344.6,1434.24,1494.0
68,ecs.sn1ne.3xlarge,optimized,vpc,linux,ap-southeast-3,3.762,1915.2,564.48,18144.0,29030.4,32659.2,34836.48,36288.0
69,ecs.c2.medium,optimized,vpc,linux,cn-hongkong,4.452,2068.0,579.03,21093.6,34742.4,37224.0,49632.0,62040.0
70,ecs.sn1ne.2xlarge,optimized,vpc,windows,cn-shenzhen,3.42,984.2,290.08,9324.0,14918.4,16783.2,17902.08,18648.0
71,ecs.n2.3xlarge,optimized,vpc,windows,cn-beijing,7.761,2352.0,658.56,23990.4,39513.6,42336.0,56448.0,70560.0
72,ecs.t5-c1m1.xlarge,optimized,vpc,windows,ap-southeast-1,0.61,294.5,86.79,2790.0,4464.0,5022.0,5356.8,5580.0
73,ecs.gn5-c8g1.8xlarge,optimized,vpc,linux,ap-southeast-1,60.62,27649.75,8149.39,261945.0,419112.0,471501.0,502934.4,523890.0
74,ecs.n4.4xlarge,optimized,vpc,windows,us-west-1,7.663,3946.0,1104.88,40249.2,66292.8,71028.0,94704.0,118380.0
75,ecs.g5.6xlarge,optimized,vpc,windows,cn-beijing,10.098,2907.0,856.8,27540.0,44064.0,49572.0,52876.8,55080.0
76,ecs.i1.3xlarge,optimized,classic,linux,cn-shanghai,6.76,1947.0,545.16,19859.4,32709.6,35046.0,46728.0,58410.0
77,ecs.t5-lc1m4.large,optimized,vpc,windows,ap-southeast-1,0.52,246.05,72.51,2331.0,3729.6,4195.8,4475.52,4662.0
78,ecs.i1.xlarge,optimized,vpc,linux,us-east-1,1.57,718.2,211.67,6804.0,10886.4,12247.2,13063.68,13608.0
79,ecs.r5.2xlarge,optimized,vpc,linux,cn-hangzhou,4.304,1238.8,365.12,11736.0,18777.6,21124.8,22533.12,23472.0
80,ecs.sn2.3xlarge,optimized,vpc,linux,cn-hongkong,6.897,3129.22,876.17,31918.04,52570.9,56325.96,75101.28,93876.6
81,ecs.s2.2xlarge,none,classic,windows,cn-beijing,1.651,458.0,128.24,4671.6,7694.4,8244.0,10992.0,13740.0
82,ecs.sn2.medium,optimized,vpc,linux,ap-southeast-2,0.863,422.86,118.4,4313.17,7104.05,7611.48,10148.64,12685.8
83,ecs.sn1.7xlarge,optimized,vpc,linux,cn-shanghai,13.67,4144.0,1160.32,42268.8,69619.2,74592.0,99456.0,124320.0
84,ecs.n2.7xlarge,optimized,vpc,windows,cn-shanghai,15.504,4704.0,1317.12,47980.8,79027.2,84672.0,112896.0,141120.0
85,ecs.i2.xlarge,optimized,vpc,linux,cn-hangzhou,3.316,953.8,281.12,9036.0,14457.6,16264.8,17349.12,18072.0
86,ecs.i2.16xlarge,optimized,vpc,windows,cn-shenzhen,52.991,15260.8,4497.92,144576.0,231321.6,260236.8,277585.92,289152.0
87,ecs.hfg5.14xlarge,optimized,vpc,linux,cn-hangzhou,29.051,8367.6,2466.24,79272.0,126835.2,142689.6,152202.24,158544.0
88,ecs.sn1ne.large,optimized,vpc,linux,cn-zhangjiakou,0.769,222.3,65.52,2106.0,3369.6,3790.8,4043.52,4212.0
89,ecs.c1.large,optimized,vpc,windows,cn-shanghai,2.75,792.0,221.76,8078.4,13305.6,14256.0,19008.0,23760.0
90,ecs.s3.medium,optimized,classic,windows,cn-shenzhen,1.04,299.0,83.72,3049.8,5023.2,5382.0,7176.0,8970.0
91,ecs.t5-c1m4.xlarge,optimized,vpc,linux,ap-south-1,1.08,487.35,143.64,4617.0,7387.2,8310.6,8864.64,9234.0
92,ecs.mn4.4xlarge,optimized,vpc,linux,eu-central-1,6.621,3298.38,923.56,33643.48,55412.78,59370.84,79161.12,98951.4
93,ecs.c2.large,optimized,classic,linux,cn-hangzhou,5.5,1584.0,443.52,16156.8,26611.2,28512.0,38016.0,47520.0
94,ecs.t5-c1m4.2xlarge,optimized,vpc,linux,cn-beijing,2.375,684.0,201.6,6480.0,10368.0,11664.0,12441.6,12960.0
95,ecs.s2.small,none,classic,windows,us-west-1,0.271,126.4,35.39,1289.28,2123.52,2275.2,3033.6,3792.0
96,ecs.hfc5.large,optimized,vpc,linux,cn-hangzhou,0.922,265.05,78.12,2511.0,4017.6,4519.8,4821.12,5022.0
97,ecs.cm4.3xlarge,optimized,vpc,linux,us-west-1,5.64,2810.07,828.23,26621.73,42594.77,47919.11,51113.72,53243.46
98,ecs.hfg5.xlarge,optimized,vpc,linux,cn-hangzhou,2.385,687.8,202.72,6516.0,10425.6,11728.8,12510.72,13032.0
99,ecs.n4.2xlarge,optimized,vpc,linux,ap-south-1,2.079,870.0,243.6,8874.0,14616.0,15660.0,20880.0,26100.0
100,ecs.t5-c1m1.xlarge,optimized,vpc,linux,cn-qingdao,0.551,158.65,46.76,1503.0,2404.8,2705.4,2885.76,3006.0
101,ecs.mn4.8xlarge,optimized,vpc,linux,us-east-1,9.815,4989.84,1397.15,50896.37,83829.31,89817.12,119756.16,149695.2
102,ecs.sn2.medium,optimized,vpc,windows,cn-qingdao,1.14,286.0,80.08,2917.2,4804.8,5148.0,6864.0,8580.0
103,ecs.n4.4xlarge,optimized,vpc,linux,cn-shanghai,5.386,1632.0,456.96,16646.4,27417.6,29376.0,39168.0,48960.0
104,ecs.hfc5.large,optimized,vpc,linux,us-east-1,0.643,280.8,82.75,2660.22,4256.35,4788.4,5107.62,5320.44
105,ecs.cm4.6xlarge,optimized,vpc,linux,eu-central-1,11.91,5640.09,1662.35,53432.46,85491.94,96178.43,102590.32,106864.92
106,ecs.cm4.6xlarge,optimized,vpc,windows,cn-beijing,19.95,3910.2,1152.48,37044.0,59270.4,66679.2,71124.48,74088.0
107,ecs.s2.xlarge,optimized,vpc,linux,cn-beijing,1.02,294.0,82.32,2998.8,4939.2,5292.0,7056.0,8820.0
108,ecs.g5.large,optimized,vpc,linux,cn-shenzhen,0.845,242.25,71.4,2295.0,3672.0,4131.0,4406.4,4590.0
109,ecs.gn4-c8g1.2xlarge,optimized,vpc,linux,cn-shenzhen,11.789,3396.25,1001.0,32175.0,51480.0,57915.0,61776.0,64350.0
110,ecs.sn1.7xlarge,optimized,vpc,windows,us-east-1,18.302,11514.0,3223.91,117442.8,193435.2,207252.0,276336.0,345420.0
111,ecs.hfc5.large,optimized,vpc,linux,cn-shanghai,0.922,265.05,78.12,2511.0,4017.6,4519.8,4821.12,5022.0
112,ecs.hfc5.6xlarge,optimized,vpc,linux,cn-shanghai,11.048,3180.6,937.44,30132.0,48211.2,54237.6,57853.44,60264.0
113,ecs.gn5-c4g1.2xlarge,optimized,vpc,linux,cn-hangzhou,28.576,8228.9,2425.36,77958.0,124732.8,140324.4,149679.36,155916.0
114,ecs.n2.3xlarge,optimized,vpc,windows,cn-shanghai,7.762,2352.0,658.56,23990.4,39513.6,42336.0,56448.0,70560.0
115,ecs.hfc5.6xlarge,optimized,vpc,windows,cn-shanghai,11.049,3180.6,937.44,30132.0,48211.2,54237.6,57853.44,60264.0
116,ecs.d1.2xlarge,optimized,vpc,linux,us-west-1,5.41,2468.1,727.44,23382.0,37411.2,42087.6,44893.44,46764.0
117,ecs.i2.4xlarge,optimized,vpc,windows,us-west-1,12.09,6663.3,1963.92,63126.0,101001.6,113626.8,121201.92,126252.0
118,ecs.sn2ne.large,optimized,vpc,linux,ap-southeast-1,0.907,390.16,114.98,3696.21,5913.94,6653.18,7096.72,7392.42
119,ecs.sn2ne.4xlarge,optimized,vpc,windows,ap-southeast-1,12.571,6817.24,2009.28,64584.36,103334.98,116251.85,124001.97,129168.72
120,ecs.se1.xlarge,optimized,classic,windows,cn-beijing,3.07,732.0,204.96,7466.4,12297.6,13176.0,17568.0,21960.0
121,ecs.sn1.medium,optimized,vpc,windows,cn-zhangjiakou,0.684,207.2,58.02,2113.44,3480.96,3729.6,4972.8,6216.0
122,ecs.m2.medium,optimized,classic,linux,cn-shanghai,3.38,972.0,272.16,9914.4,16329.6,17496.0,23328.0,29160.0
123,ecs.hfc5.4xlarge,optimized,vpc,windows,us-east-1,9.849,5525.66,1628.6,52348.32,83757.31,94226.98,100508.77,104696.64
124,ecs.se1.14xlarge,optimized,classic,windows,cn-hongkong,51.266,28631.0,8016.67,292036.2,481000.8,515358.0,687144.0,858930.0
125,ecs.i2.16xlarge,optimized,vpc,windows,ap-southeast-2,51.25,27920.5,8229.2,264510.0,423216.0,476118.0,507859.2,529020.0
126,ecs.hfg5.3xlarge,optimized,vpc,windows,cn-shenzhen,7.165,2063.4,608.16,19548.0,31276.8,35186.4,37532.16,39096.0
127,ecs.gn5-c8g1.4xlarge,optimized,vpc,windows,eu-central-1,29.96,17083.85,5035.25,161847.0,258955.2,291324.6,310746.24,323694.0
128,ecs.se1ne.xlarge,optimized,vpc,windows,cn-hangzhou,2.413,695.4,204.96,6588.0,10540.8,11858.4,12648.96,13176.0
129,ecs.c2.medium,optimized,vpc,linux,cn-hangzhou,4.17,1200.0,336.0,12240.0,20160.0,21600.0,28800.0,36000.0
130,ecs.se1.4xlarge,optimized,vpc,windows,cn-qingdao,11.666,2928.0,819.84,29865.6,49190.4,52704.0,70272.0,87840.0
131,ecs.d1.14xlarge,optimized,vpc,windows,us-east-1,40.07,22844.65,6733.15,216423.0,346276.8,389561.4,415532.16,432846.0
132,ecs.m2.xlarge,optimized,classic,windows,cn-shanghai,6.75,1944.0,544.32,19828.8,32659.2,34992.0,46656.0,58320.0
133,ecs.ga1.2xlarge,optimized,vpc,linux,us-west-1,3.87,1768.9,521.36,16758.0,26812.8,30164.4,32175.36,33516.0
134,ecs.c2.medium,optimized,vpc,windows,cn-hongkong,5.24,2689.0,752.91,27427.8,45175.2,48402.0,64536.0,80670.0
135,ecs.g5.4xlarge,optimized,vpc,windows,cn-shanghai,6.726,1938.0,571.2,18360.0,29376.0,33048.0,35251.2,36720.0
136,ecs.sn1.3xlarge,optimized,vpc,linux,eu-central-1,5.383,2723.0,762.45,27774.6,45746.4,49014.0,65352.0,81690.0
137,ecs.e3.small,optimized,vpc,linux,ap-southeast-1,0.552,257.18,72.0,2623.24,4320.62,4629.24,6172.32,7715.4
138,ecs.gn5i-c16g1.8xlarge,optimized,vpc,linux,cn-beijing,29.687,8550.0,2520.0,81000.0,129600.0,145800.0,155520.0,162000.0
139,ecs.se1.xlarge,optimized,vpc,linux,us-east-1,1.835,832.45,233.08,8490.99,13985.16,14984.1,19978.8,24973.5
140,ecs.i2.2xlarge,optimized,vpc,linux,cn-shanghai,6.622,1907.6,562.24,18072.0,28915.2,32529.6,34698.24,36144.0
141,ecs.gn5-c8g1.14xlarge,optimized,vpc,windows,cn-shenzhen,137.617,39634.0,11681.6,375480.0,600768.0,675864.0,720921.6,750960.0
142,ecs.hfg5.2xlarge,optimized,vpc,windows,cn-shanghai,4.78,1375.6,405.44,13032.0,20851.2,23457.6,25021.44,26064.0
143,ecs.r5.3xlarge,optimized,vpc,linux,cn-huhehaote,5.823,1675.8,493.92,15876.0,25401.6,28576.8,30481.92,31752.0
144,ecs.n1.xlarge,optimized,classic,linux,cn-beijing,2.69,776.0,217.28,7915.2,13036.8,13968.0,18624.0,23280.0
145,ecs.d1.14xlarge,optimized,vpc,linux,ap-southeast-2,39.55,18040.5,5317.2,170910.0,273456.0,307638.0,328147.2,341820.0
146,ecs.n4.xlarge,optimized,classic,windows,cn-hangzhou,1.42,408.0,114.24,4161.6,6854.4,7344.0,9792.0,12240.0
147,ecs.sn2.7xlarge,optimized,vpc,windows,cn-zhangjiakou,13.585,4118.4,1153.15,42007.68,69189.12,74131.2,98841.6,123552.0
148,ecs.t5-c1m1.4xlarge,optimized,vpc,linux,ap-southeast-2,1.84,849.3,250.32,8046.0,12873.6,14482.8,15448.32,16092.0
149,ecs.n4.small,optimized,vpc,linux,cn-qingdao,0.275,84.0,23.52,856.8,1411.2,1512.0,2016.0,2520.0
150,ecs.gn5-c4g1.xlarge,optimized,vpc,windows,cn-shenzhen,14.288,4114.45,1212.68,38979.0,62366.4,70162.2,74839.68,77958.0
151,ecs.gn5-c8g1.4xlarge,optimized,vpc,linux,cn-qingdao,34.409,9908.5,2920.4,93870.0,150192.0,168966.0,180230.4,187740.0
152,ecs.t5-c1m1.4xlarge,optimized,vpc,linux,cn-shanghai,2.194,632.7,186.48,5994.0,9590.4,10789.2,11508.48,11988.0
153,ecs.hfg5.xlarge,optimized,vpc,windows,cn-shenzhen,2.386,687.8,202.72,6516.0,10425.6,11728.8,12510.72,13032.0
154,ecs.se1ne.large,optimized,vpc,windows,cn-beijing,1.206,347.7,102.48,3294.0,5270.4,5929.2,6324.48,6588.0
155,ecs.t5-c1m4.large,optimized,vpc,windows,ap-southeast-1,0.61,293.55,86.51,2781.0,4449.6,5005.8,5339.52,5562.0
156,ecs.hfc5.6xlarge,optimized,vpc,linux,cn-qingdao,11.048,3180.6,937.44,30132.0,48211.2,54237.6,57853.44,60264.0
157,ecs.mn4.2xlarge,optimized,vpc,linux,cn-zhangjiakou,3.268,992.0,277.76,10118.4,16665.6,17856.0,23808.0,29760.0
158,ecs.c5.4xlarge,optimized,vpc,linux,cn-beijing,5.909,1702.4,501.76,16128.0,25804.8,29030.4,30965.76,32256.0
159,ecs.e3.small,optimized,vpc,windows,ap-southeast-1,0.869,455.0,127.39,4641.0,7644.0,8190.0,10920.0,13650.0
160,ecs.i1.14xlarge,optimized,classic,windows,cn-shenzhen,37.24,9086.0,2544.08,92677.2,152644.8,163548.0,218064.0,272580.0
161,ecs.n4.8xlarge,optimized,vpc,windows,us-east-1,12.656,6517.0,1824.75,66473.4,109485.6,117306.0,156408.0,195510.0
162,ecs.se1.2xlarge,optimized,vpc,windows,cn-beijing,5.833,1464.0,409.92,14932.8,24595.2,26352.0,35136.0,43920.0
163,ecs.hfg5.xlarge,optimized,vpc,windows,ap-south-1,2.584,1568.63,462.33,14860.71,23777.14,26749.28,28532.56,29721.42
164,ecs.mn4.xlarge,optimized,vpc,windows,cn-zhangjiakou,1.634,496.0,138.88,5059.2,8332.8,8928.0,11904.0,14880.0
165,ecs.sn2.medium,optimized,vpc,linux,us-west-1,0.807,411.07,115.1,4192.91,6905.98,7399.26,9865.68,12332.1
166,ecs.i1.4xlarge,optimized,vpc,linux,cn-hangzhou,11.182,2466.2,726.88,23364.0,37382.4,42055.2,44858.88,46728.0
167,ecs.hfc5.3xlarge,optimized,vpc,windows,cn-beijing,5.52,1590.3,468.72,15066.0,24105.6,27118.8,28926.72,30132.0
168,ecs.s2.2xlarge,optimized,vpc,linux,cn-qingdao,1.69,486.0,136.08,4957.2,8164.8,8748.0,11664.0,14580.0
169,ecs.se1ne.8xlarge,optimized,vpc,windows,cn-hongkong,29.196,15490.41,4565.58,146751.21,234801.94,264152.18,281762.32,293502.42
170,ecs.c2.xlarge,none,classic,linux,us-west-1,4.552,2332.4,653.07,23790.48,39184.32,41983.2,55977.6,69972.0
171,ecs.s3.large,optimized,classic,linux,cn-beijing,1.38,396.0,110.88,4039.2,6652.8,7128.0,9504.0,11880.0
172,ecs.gn5-c4g1.2xlarge,optimized,vpc,windows,eu-central-1,24.88,14187.3,4181.53,134406.0,215049.6,241930.8,258059.52,268812.0
173,ecs.i1.6xlarge,optimized,vpc,windows,eu-central-1,18.18,10271.4,3027.37,97308.0,155692.8,175154.4,186831.36,194616.0
174,ecs.n1.7xlarge,optimized,classic,windows,cn-hongkong,10.98,5658.0,1584.23,57711.6,95054.4,101844.0,135792.0,169740.0
175,ecs.n4.small,optimized,classic,linux,cn-beijing,0.29,84.0,23.52,856.8,1411.2,1512.0,2016.0,2520.0
176,ecs.n1.xlarge,optimized,vpc,linux,cn-beijing,2.556,776.0,217.28,7915.2,13036.8,13968.0,18624.0,23280.0
177,ecs.d1ne.8xlarge,optimized,vpc,windows,cn-hangzhou,25.403,7315.0,2156.0,69300.0,110880.0,124740.0,133056.0,138600.0
178,ecs.i1-c10d1.8xlarge,optimized,classic,windows,cn-hangzhou,25.14,5653.44,1582.96,57665.09,94977.79,101761.92,135682.56,169603.2
179,ecs.n1.xlarge,optimized,vpc,windows,us-west-1,3.168,1632.0,456.96,16646.4,27417.6,29376.0,39168.0,48960.0
180,ecs.c2.large,optimized,vpc,windows,cn-beijing,5.5,1584.0,443.52,16156.8,26611.2,28512.0,38016.0,47520.0
181,ecs.se1ne.large,optimized,vpc,linux,ap-southeast-3,1.026,480.7,141.68,4554.0,7286.4,8197.2,8743.68,9108.0
182,ecs.t5-c1m4.2xlarge,optimized,vpc,linux,ap-southeast-3,1.957,802.75,236.6,7605.0,12168.0,13689.0,14601.6,15210.0
183,ecs.xn4.small,optimized,vpc,windows,cn-hangzhou,0.152,45.0,12.6,459.0,756.0,810.0,1080.0,1350.0
184,ecs.n2.7xlarge,optimized,vpc,windows,ap-southeast-1,22.606,11648.0,3261.43,118809.6,195686.4,209664.0,279552.0,349440.0
185,ecs.sn2.13xlarge,optimized,vpc,windows,cn-beijing,31.825,8008.0,2242.24,81681.6,134534.4,144144.0,192192.0,240240.0
186,ecs.m2.xlarge,none,classic,linux,cn-beijing,6.841,1952.0,546.56,19910.4,32793.6,35136.0,46848.0,58560.0
187,ecs.t5-c1m4.large,optimized,vpc,windows,ap-southeast-5,0.579,293.55,86.51,2781.0,4449.6,5005.8,5339.52,5562.0
188,ecs.s2.large,optimized,vpc,linux,us-east-1,0.51,263.0,73.63,2682.6,4418.4,4734.0,6312.0,7890.0
189,ecs.r5.2xlarge,optimized,vpc,windows,cn-beijing,4.304,1238.8,365.12,11736.0,18777.6,21124.8,22533.12,23472.0
190,ecs.cm4.3xlarge,optimized,vpc,windows,cn-shenzhen,6.789,1955.1,576.24,18522.0,29635.2,33339.6,35562.24,37044.0
191,ecs.hfc5.4xlarge,optimized,vpc,linux,cn-shenzhen,7.362,2120.4,624.96,20088.0,32140.8,36158.4,38568.96,40176.0
192,ecs.m1.xlarge,optimized,classic,linux,us-west-1,3.494,1800.0,504.0,18360.0,30240.0,32400.0,43200.0,54000.0
193,ecs.c2.xlarge,optimized,vpc,linux,cn-beijing,8.17,2352.0,658.56,23990.4,39513.6,42336.0,56448.0,70560.0
