,InstanceType,IoOptimized,NetworkType,OSType,RegionId,hour,month,week,year,years-2,years-3,years-4,years-5
776,ecs.hfg5.2xlarge,optimized,vpc,linux,ap-southeast-5,3.104,1544.15,455.11,14628.78,23406.05,26331.8,28087.26,29257.56
777,ecs.n4.8xlarge,optimized,classic,windows,cn-hangzhou,11.33,3264.0,913.92,33292.8,54835.2,58752.0,78336.0,97920.0
778,ecs.e3.3xlarge,optimized,classic,linux,ap-southeast-1,8.827,4080.39,1142.5,41619.98,68550.55,73447.02,97929.36,122411.7
779,ecs.s2.xlarge,optimized,vpc,windows,us-west-1,1.048,540.0,151.2,5508.0,9072.0,9720.0,12960.0,16200.0
780,ecs.cm4.2xlarge,optimized,vpc,windows,us-west-1,6.9,4064.29,1197.9,38503.8,61606.08,69306.84,73927.3,77007.6
781,ecs.se1ne.4xlarge,optimized,vpc,linux,cn-hangzhou,9.661,2781.6,819.84,26352.0,42163.2,47433.6,50595.84,52704.0
782,ecs.g5.2xlarge,optimized,vpc,linux,cn-shenzhen,3.363,969.0,285.6,9180.0,14688.0,16524.0,17625.6,18360.0
783,ecs.sn2ne.2xlarge,optimized,vpc,windows,us-east-1,5.562,3092.22,911.38,29294.73,46871.57,52730.51,56245.88,58589.46
784,ecs.e3.small,optimized,vpc,linux,us-east-1,0.459,213.33,59.72,2175.97,3583.94,3839.94,5119.92,6399.9
785,ecs.d1ne.14xlarge,optimized,vpc,linux,cn-huhehaote,44.45,11521.6,3395.84,109152.0,174643.2,196473.6,209571.84,218304.0
786,ecs.r5.4xlarge,optimized,vpc,windows,cn-hangzhou,8.607,2477.6,730.24,23472.0,37555.2,42249.6,45066.24,46944.0
787,ecs.i1-c10d1.8xlarge,optimized,vpc,windows,us-west-1,25.45,14510.3,4276.72,137466.0,219945.6,247438.8,263934.72,274932.0
788,ecs.e3.xlarge,optimized,vpc,linux,cn-qingdao,6.574,1992.0,557.76,20318.4,33465.6,35856.0,47808.0,59760.0
789,ecs.n2.large,optimized,classic,windows,cn-hongkong,2.07,1066.0,298.47,10873.2,17908.8,19188.0,25584.0,31980.0
790,ecs.sn1ne.8xlarge,optimized,vpc,windows,cn-beijing,13.67,3936.8,1160.32,37296.0,59673.6,67132.8,71608.32,74592.0
791,ecs.se1ne.14xlarge,optimized,vpc,linux,eu-central-1,34.178,14931.23,4400.79,141453.72,226325.95,254616.7,271591.14,282907.44
792,ecs.t5-c1m1.4xlarge,optimized,vpc,linux,ap-southeast-1,1.84,786.6,231.83,7452.0,11923.2,13413.6,14307.84,14904.0
793,ecs.sn1.xlarge,optimized,vpc,linux,eu-central-1,2.689,1361.5,381.23,13887.3,22873.2,24507.0,32676.0,40845.0
794,ecs.c5.8xlarge,optimized,vpc,linux,cn-hangzhou,11.818,3404.8,1003.52,32256.0,51609.6,58060.8,61931.52,64512.0
795,ecs.n2.medium,optimized,vpc,windows,us-west-1,1.165,600.0,168.0,6120.0,10080.0,10800.0,14400.0,18000.0
796,ecs.sn2.xlarge,optimized,classic,windows,cn-hangzhou,4.82,1144.0,320.32,11668.8,19219.2,20592.0,27456.0,34320.0
797,ecs.se1ne.2xlarge,optimized,vpc,windows,eu-central-1,7.3,3872.63,1141.42,36688.05,58700.88,66038.49,70441.06,73376.1
798,ecs.mn4.8xlarge,optimized,vpc,linux,cn-shenzhen,16.359,4960.0,1388.8,50592.0,83328.0,89280.0,119040.0,148800.0
799,ecs.hfg5.8xlarge,optimized,vpc,windows,ap-south-1,20.64,12529.07,3692.78,118696.41,189914.26,213653.54,227897.11,237392.82
800,ecs.m1.xlarge,none,classic,linux,us-west-1,2.239,1140.4,319.31,11632.08,19158.72,20527.2,27369.6,34212.0
801,ecs.n4.2xlarge,optimized,vpc,windows,cn-hangzhou,2.689,816.0,228.48,8323.2,13708.8,14688.0,19584.0,24480.0
